drug_name,rx_normcui,class,drug_name_broad,term_type,name,drug
,1008533,,,MIN,coenzyme Q10 / red yeast rice,Red Yeast Rice
,1009044,,,MIN,Cholestyramine Resin / Diclofenac,Cholestyramine
,103918,,,SBD,fluvastatin 20 MG Oral Capsule [Lescol],Fluvastatin
,103919,,,SBD,fluvastatin 40 MG Oral Capsule [Lescol],Fluvastatin
,104485,,,PIN,Colestipol Hydrochloride,Colestipol
,104490,,,SBD,Simvastatin 10 MG Oral Tablet [Zocor],Simvastatin
,104491,,,SBD,Simvastatin 20 MG Oral Tablet [Zocor],Simvastatin
,1048444,,,SCDC,Colestipol Hydrochloride 1000 MG,Colestipol
,1048445,,,SCD,Colestipol Hydrochloride 1000 MG Oral Tablet,Colestipol
,1048446,,,SBDC,Colestipol Hydrochloride 1000 MG [Colestid],Colestipol
,1048447,,,SBD,Colestipol Hydrochloride 1000 MG Oral Tablet [Colestid],Colestipol
,1048449,,,SCDC,Colestipol Hydrochloride 5000 MG,Colestipol
,1048450,,,SCD,Colestipol Hydrochloride 5000 MG Oral Granules,Colestipol
,1048451,,,SBDC,Colestipol Hydrochloride 5000 MG [Colestid],Colestipol
,1048452,,,SBD,Colestipol Hydrochloride 5000 MG Oral Granules [Colestid],Colestipol
,1152281,,,SCDG,Amlodipine / atorvastatin Oral Product,Atorvastatin
,1152282,,,SCDG,Amlodipine / atorvastatin Pill,Atorvastatin
,1155486,,,SCDG,Colestipol Oral Product,Colestipol
,1155487,,,SCDG,Colestipol Pill,Colestipol
,1156140,,,SCDG,Cholestyramine Resin Oral Product,Cholestyramine
,1157398,,,SCDG,red yeast rice Oral Product,Red Yeast Rice
,1157399,,,SCDG,red yeast rice Pill,Red Yeast Rice
,1157991,,,SCDG,rosuvastatin Oral Product,Rosuvastatin
,1157992,,,SCDG,rosuvastatin Pill,Rosuvastatin
,1158108,,,SCDG,Niacin / Simvastatin Oral Product,Simvastatin
,1158109,,,SCDG,Niacin / Simvastatin Pill,Simvastatin
,1158284,,,SCDG,atorvastatin Oral Product,Atorvastatin
,1158285,,,SCDG,atorvastatin Pill,Atorvastatin
,1158753,,,SCDG,Simvastatin Oral Product,Simvastatin
,1158754,,,SCDG,Simvastatin Pill,Simvastatin
,1159042,,,SCDG,Fenofibrate Oral Product,fenofibric acid
,1159043,,,SCDG,Fenofibrate Pill,fenofibric acid
,1161691,,,SCDG,Pravastatin Oral Product,Pravastatin
,1161692,,,SCDG,Pravastatin Pill,Pravastatin
,1163274,,,SCDG,pitavastatin Oral Product,Pitavastatin
,1163791,,,SCDG,ezetimibe / Simvastatin Oral Product,Ezetimibe
,1163791,,,SCDG,ezetimibe / Simvastatin Oral Product,Simvastatin
,1163792,,,SCDG,ezetimibe / Simvastatin Pill,Ezetimibe
,1163792,,,SCDG,ezetimibe / Simvastatin Pill,Simvastatin
,1163793,,,SCDG,ezetimibe Oral Product,Ezetimibe
,1163794,,,SCDG,ezetimibe Pill,Ezetimibe
,1164454,,,SCDG,pitavastatin Pill,Pitavastatin
,1164975,,,SCDG,coenzyme Q10 / red yeast rice Oral Product,Red Yeast Rice
,1164976,,,SCDG,coenzyme Q10 / red yeast rice Pill,Red Yeast Rice
,1164984,,,SCDG,colesevelam Oral Product,Colesevelam
,1164985,,,SCDG,colesevelam Pill,Colesevelam
,1165344,,,SCDG,Lovastatin / Niacin Oral Product,Lovastatin
,1165345,,,SCDG,Lovastatin / Niacin Pill,Lovastatin
,1165346,,,SCDG,Lovastatin Oral Product,Lovastatin
,1165347,,,SCDG,Lovastatin Pill,Lovastatin
,1165660,,,SCDG,fluvastatin Oral Product,Fluvastatin
,1165661,,,SCDG,fluvastatin Pill,Fluvastatin
,1166061,,,SBDG,Lescol Oral Product,Fluvastatin
,1166062,,,SBDG,Lescol Pill,Fluvastatin
,1166289,,,SBDG,Colestid Oral Product,Colestipol
,1166290,,,SBDG,Colestid Pill,Colestipol
,1168314,,,SBDG,Fibricor Oral Product,fenofibric acid
,1168315,,,SBDG,Fibricor Pill,fenofibric acid
,1169988,,,SBDG,Altoprev Oral Product,Lovastatin
,1169989,,,SBDG,Altoprev Pill,Lovastatin
,1170193,,,SBDG,Caduet Oral Product,Atorvastatin
,1170826,,,SBDG,Caduet Pill,Atorvastatin
,1171320,,,SBDG,Advicor Oral Product,Lovastatin
,1171323,,,SBDG,Advicor Pill,Lovastatin
,1173051,,,SBDG,Crestor Oral Product,Rosuvastatin
,1173053,,,SBDG,Crestor Pill,Rosuvastatin
,1177400,,,SBDG,Lipitor Oral Product,Atorvastatin
,1177401,,,SBDG,Lipitor Pill,Atorvastatin
,1177512,,,SBDG,Mevacor Oral Product,Lovastatin
,1177513,,,SBDG,Mevacor Pill,Lovastatin
,1177645,,,SBDG,Prevalite Oral Product,Cholestyramine
