rxcui,NDC,startdate,enddate,class,drug
317121,00002161502,200706,201101,Calcium channel blocker,
317121,00002161512,200706,201101,Calcium channel blocker,
309633,00002210902,200706,201101,Thiazide,
309633,00002210904,200706,201101,Thiazide,
198007,00003020750,200706,200901,Beta_blocker,
201337,00003020750,200706,201301,Beta_blocker,
198007,00003020753,200706,200901,Beta_blocker,
201337,00003020753,200706,201301,Beta_blocker,
198007,00003020767,200801,200901,Beta_blocker,
201337,00003020767,200706,201301,Beta_blocker,
198007,00003020776,200706,200901,Beta_blocker,
201337,00003020776,200706,201301,Beta_blocker,
198004,00003020850,200706,200901,Beta_blocker,
206964,00003020850,200706,201301,Beta_blocker,
198004,00003020853,200706,201101,Beta_blocker,
198004,00003020876,200706,200901,Beta_blocker,
206964,00003020876,200706,201301,Beta_blocker,
198006,00003023215,200801,200901,Beta_blocker,
206961,00003023215,200706,201301,Beta_blocker,
198006,00003023250,200706,200901,Beta_blocker,
206961,00003023250,200706,201301,Beta_blocker,
198006,00003023251,200706,200901,Beta_blocker,
206961,00003023251,200706,201301,Beta_blocker,
198008,00003024150,200706,200901,Beta_blocker,
201338,00003024150,200706,201301,Beta_blocker,
198008,00003024155,200706,200901,Beta_blocker,
201338,00003024155,200706,201301,Beta_blocker,
198008,00003024176,200706,200901,Beta_blocker,
201338,00003024176,200706,201301,Beta_blocker,
198005,00003024649,200706,200901,Beta_blocker,
206968,00003024649,200706,201301,Beta_blocker,
198005,00003024653,200706,201101,Beta_blocker,
198005,00003024676,200706,201101,Beta_blocker,
197381,00003025624,200706,201101,Beta_blocker,
197379,00003025774,200706,201101,Beta_blocker,
198000,00003028316,200801,200901,Beta_blocker,
198000,00003028316,200801,200901,Thiazide,
208003,00003028316,200706,201301,Beta_blocker,
208003,00003028316,200706,201301,Thiazide,
198000,00003028350,200706,200901,Beta_blocker,
198000,00003028350,200706,200901,Thiazide,
208003,00003028350,200706,201301,Beta_blocker,
208003,00003028350,200706,201301,Thiazide,
198000,00003028351,200706,201101,Beta_blocker,
198000,00003028351,200706,201101,Thiazide,
198000,00003028370,200706,201101,Beta_blocker,
198000,00003028370,200706,201101,Thiazide,
198001,00003028450,200706,200901,Beta_blocker,
198001,00003028450,200706,200901,Thiazide,
208029,00003028450,200706,201301,Beta_blocker,
208029,00003028450,200706,201301,Thiazide,
198001,00003028451,200706,201101,Beta_blocker,
198001,00003028451,200706,201101,Thiazide,
